Year;Country;Genre;ISCED11;Percentage;Employment Rate
2015;CY;M;ED0-2;26.4;72.3
2015;CZ;F;ED0-2;13.9;66.4
2015;CZ;M;ED0-2;11;83
2015;DE;F;ED0-2;20.8;73.6
2015;DE;M;ED0-2;18.9;82.3
2015;DK;F;ED0-2;26.1;71.5
2015;DK;M;ED0-2;29.7;79.3
2015;EE;F;ED0-2;14.1;72.6
2015;EE;M;ED0-2;20.5;80.5
2015;EL;F;ED0-2;30.1;46
2015;EL;M;ED0-2;33;64
2015;ES;F;ED0-2;40.9;56.4
2015;ES;M;ED0-2;46.1;67.6
2015;FI;F;ED0-2;16.8;71.8
2015;FI;M;ED0-2;21.5;73.9
2015;FR;F;ED0-2;26.1;66
2015;FR;M;ED0-2;25.7;73.2
2015;HR;F;ED0-2;23;55.9
2015;HR;M;ED0-2;17.8;65.4
2015;HU;F;ED0-2;23;62.1
2015;HU;M;ED0-2;20.8;75.8
2015;IE;F;ED0-2;21;63.8
2015;IE;M;ED0-2;26;76.1
2015;IT;F;ED0-2;39.8;50.6
2015;IT;M;ED0-2;43.9;70.6
2015;LT;F;ED0-2;11.7;72.2
2015;LT;M;ED0-2;16;74.6
2015;LU;F;ED0-2;30.1;65
2015;LU;M;ED0-2;30.5;76.7
2015;LV;F;ED0-2;12.3;70.5
2015;LV;M;ED0-2;19.1;74.6
2015;MT;F;ED0-2;49.5;55.3
2015;MT;M;ED0-2;51.3;82.1
2015;NL;F;ED0-2;28.5;70.8
2015;NL;M;ED0-2;28.3;81.9
2015;PL;F;ED0-2;14.6;60.9
2015;PL;M;ED0-2;15.9;74.7
2015;PT;F;ED0-2;50.9;65.9
2015;PT;M;ED0-2;58.1;72.6
2015;RO;F;ED0-2;31.4;57.2
2015;RO;M;ED0-2;27.4;74.7
2015;SE;F;ED0-2;20.4;78.3
2015;SE;M;ED0-2;22.8;82.5
2015;SI;F;ED0-2;18.3;64.7
2015;SI;M;ED0-2;16.7;73.3
2015;SK;F;ED0-2;15.6;60.3
2015;SK;M;ED0-2;13.6;75
2016;AT;F;ED0-2;22.1;70.9
2016;AT;M;ED0-2;17;78.7
2016;BE;F;ED0-2;27.1;63
2016;BE;M;ED0-2;29.3;72.3
2016;BG;F;ED0-2;21.3;64
2016;BG;M;ED0-2;22.5;71.3
2016;CY;F;ED0-2;22.8;64.1
2016;CY;M;ED0-2;25.4;73.8
2016;CZ;F;ED0-2;13.6;68.6
2016;CZ;M;ED0-2;11.1;84.6
2016;DE;F;ED0-2;20.6;74.5
2016;DE;M;ED0-2;19.1;82.7
2016;DK;F;ED0-2;25.5;72.5
2016;DK;M;ED0-2;29.1;79.4
2016;EE;F;ED0-2;13;72.6
2016;EE;M;ED0-2;20.4;80.8
2016;EL;F;ED0-2;28.7;46.8
2016;EL;M;ED0-2;31.4;65.8
2016;ES;F;ED0-2;39.7;58.1
2016;ES;M;ED0-2;45.5;69.6
2016;FI;F;ED0-2;16.4;71.7
2016;FI;M;ED0-2;20.7;75
2016;FR;F;ED0-2;25.4;66.4
2016;FR;M;ED0-2;25.4;73.8
2016;HR;F;ED0-2;22.9;56.6
2016;HR;M;ED0-2;18.3;66.2
2016;HU;F;ED0-2;23;64.6
2016;HU;M;ED0-2;20.6;78.6
2016;IE;F;ED0-2;20.2;65.4
2016;IE;M;ED0-2;25.8;77.5
2016;IT;F;ED0-2;39.5;51.6
2016;IT;M;ED0-2;43.7;71.7
2016;LT;F;ED0-2;10.5;74.3
2016;LT;M;ED0-2;14.5;76.2
2016;LU;F;ED0-2;28.7;65.1
2016;LU;M;ED0-2;27.7;76.1
2016;LV;F;ED0-2;12.2;71.8
2016;LV;M;ED0-2;17.9;74.7
2016;MT;F;ED0-2;46.6;58
2016;MT;M;ED0-2;49;83.5
2016;NL;F;ED0-2;27.9;71.6
2016;NL;M;ED0-2;28;82.6
2016;PL;F;ED0-2;14;62.2
2016;PL;M;ED0-2;15.2;76.4
2016;PT;F;ED0-2;49.3;67.4
2016;PT;M;ED0-2;56.7;74.2
