Year;Country;Genre;ISCED11;Percentage
2016;SK;F;ED0-2;15.1
2016;SK;F;ED3_4;62.2
2016;SK;F;ED5_8;22.7
2016;FI;M;ED0-2;20.7
2016;FI;M;ED3_4;49.3
2016;FI;M;ED5_8;30
2016;FI;F;ED0-2;16.4
2016;FI;F;ED3_4;41.7
2016;FI;F;ED5_8;41.9
2016;SE;M;ED0-2;22
2016;SE;M;ED3_4;48.7
2016;SE;M;ED5_8;29.4
2016;SE;F;ED0-2;20.2
2016;SE;F;ED3_4;38.4
2016;SE;F;ED5_8;41.5
2017;BE;M;ED0-2;28.4
2017;BE;M;ED3_4;39.3
2017;BE;M;ED5_8;32.3
2017;BE;F;ED0-2;26
2017;BE;F;ED3_4;35
2017;BE;F;ED5_8;39
2017;BG;M;ED0-2;21.7
2017;BG;M;ED3_4;59.1
2017;BG;M;ED5_8;19.1
2017;BG;F;ED0-2;21
2017;BG;F;ED3_4;49
2017;BG;F;ED5_8;30.1
2017;CZ;M;ED0-2;11.1
2017;CZ;M;ED3_4;69.2
2017;CZ;M;ED5_8;19.8
2017;CZ;F;ED0-2;13.2
2017;CZ;F;ED3_4;63.7
2017;CZ;F;ED5_8;23.1
2017;DK;M;ED0-2;29
2017;DK;M;ED3_4;43.3
2017;DK;M;ED5_8;27.6
2017;DK;F;ED0-2;24.3
2017;DK;F;ED3_4;39
2017;DK;F;ED5_8;36.7
2017;DE;M;ED0-2;19.4
2017;DE;M;ED3_4;53.8
2017;DE;M;ED5_8;26.9
2017;DE;F;ED0-2;20.3
2017;DE;F;ED3_4;57.2
2017;DE;F;ED5_8;22.6
2017;EE;M;ED0-2;20.5
2017;EE;M;ED3_4;53.7
2017;EE;M;ED5_8;25.9
2017;EE;F;ED0-2;13.3
2017;EE;F;ED3_4;43.3
2017;EE;F;ED5_8;43.5
2017;IE;M;ED0-2;24.6
2017;IE;M;ED3_4;38.5
2017;IE;M;ED5_8;36.9
2017;IE;F;ED0-2;19.1
2017;IE;F;ED3_4;37
2017;IE;F;ED5_8;43.9
2017;EL;M;ED0-2;30.4
2017;EL;M;ED3_4;44.3
2017;EL;M;ED5_8;25.3
2017;EL;F;ED0-2;28.2
2017;EL;F;ED3_4;42.9
2017;EL;F;ED5_8;29
2017;ES;M;ED0-2;44.7
2017;ES;M;ED3_4;24.7
2017;ES;M;ED5_8;30.6
2017;ES;F;ED0-2;39
2017;ES;F;ED3_4;25.2
2017;ES;F;ED5_8;35.8
2017;FR;M;ED0-2;25.1
2017;FR;M;ED3_4;45.8
2017;FR;M;ED5_8;29
2017;FR;F;ED0-2;25.3
2017;FR;F;ED3_4;41
2017;FR;F;ED5_8;33.7
2017;HR;M;ED0-2;18.1
2017;HR;M;ED3_4;64.2
2017;HR;M;ED5_8;17.7
2017;HR;F;ED0-2;21.7
2017;HR;F;ED3_4;54.9
2017;HR;F;ED5_8;23.4
2017;IT;M;ED0-2;43.1
2017;IT;M;ED3_4;43
2017;IT;M;ED5_8;13.9
2017;IT;F;ED0-2;38.6
2017;IT;F;ED3_4;42.2
2017;IT;F;ED5_8;19.1
2017;CY;M;ED0-2;23.6
2017;CY;M;ED3_4;43.3
2017;CY;M;ED5_8;33.1
2017;CY;F;ED0-2;22.2
2017;CY;F;ED3_4;34.9
2017;CY;F;ED5_8;42.8
2017;LV;M;ED0-2;18.4
2017;LV;M;ED3_4;59.7
2017;LV;M;ED5_8;21.9
2017;LV;F;ED0-2;12.3
2017;LV;F;ED3_4;50.1
2017;LV;F;ED5_8;37.6
2017;LT;M;ED0-2;14.1
2017;LT;M;ED3_4;58.2
2017;LT;M;ED5_8;27.7
2017;LT;F;ED0-2;10.1
2017;LT;F;ED3_4;48.4
2017;LT;F;ED5_8;41.5
2017;LU;M;ED0-2;30.5
2017;LU;M;ED3_4;36.4
2017;LU;M;ED5_8;33.1
2017;LU;F;ED0-2;30.5
2017;LU;F;ED3_4;34.4
2017;LU;F;ED5_8;35.1
2017;HU;M;ED0-2;19.6
2017;HU;M;ED3_4;62.4
2017;HU;M;ED5_8;18
2017;HU;F;ED0-2;22.5
2017;HU;F;ED3_4;53.8
2017;HU;F;ED5_8;23.7
2017;MT;M;ED0-2;46.3
2017;MT;M;ED3_4;32.3
2017;MT;M;ED5_8;21.5
2017;MT;F;ED0-2;44.9
2017;MT;F;ED3_4;32.4
2017;MT;F;ED5_8;22.8
2017;NL;M;ED0-2;27
2017;NL;M;ED3_4;41.7
2017;NL;M;ED5_8;31.3
2017;NL;F;ED0-2;26.2
2017;NL;F;ED3_4;40.9
2017;NL;F;ED5_8;32.9
2017;AT;M;ED0-2;17.2
2017;AT;M;ED3_4;53.3
2017;AT;M;ED5_8;29.5
2017;AT;F;ED0-2;21.4
2017;AT;F;ED3_4;48.6
2017;AT;F;ED5_8;29.9
2017;PL;M;ED0-2;14.5
2017;PL;M;ED3_4;64.3
2017;PL;M;ED5_8;21.2
2017;PL;F;ED0-2;13.3
2017;PL;F;ED3_4;55.3
2017;PL;F;ED5_8;31.4
2017;PT;M;ED0-2;56.1
2017;PT;M;ED3_4;26.8
2017;PT;M;ED5_8;17
2017;PT;F;ED0-2;47.5
2017;PT;F;ED3_4;26.4
2017;PT;F;ED5_8;26.1
2017;RO;M;ED0-2;25.5
2017;RO;M;ED3_4;60.3
2017;RO;M;ED5_8;14.2
2017;RO;F;ED0-2;28.4
2017;RO;F;ED3_4;55.1
2017;RO;F;ED5_8;16.5
2017;SI;M;ED0-2;16.1
2017;SI;M;ED3_4;61.2
2017;SI;M;ED5_8;22.7
2017;SI;F;ED0-2;17.4
2017;SI;F;ED3_4;47.7
2017;SI;F;ED5_8;34.9
2017;SK;M;ED0-2;13.8
2017;SK;M;ED3_4;68.6
2017;SK;M;ED5_8;17.6
2017;SK;F;ED0-2;15.7
2017;SK;F;ED3_4;60.4
2017;SK;F;ED5_8;23.9
2017;FI;M;ED0-2;20.9
2017;FI;M;ED3_4;49
2017;FI;M;ED5_8;30.1
2017;FI;F;ED0-2;15.8
2017;FI;F;ED3_4;41.3
2017;FI;F;ED5_8;42.9
2017;SE;M;ED0-2;22
2017;SE;M;ED3_4;47.8
2017;SE;M;ED5_8;30.2
2017;SE;F;ED0-2;20.2
2017;SE;F;ED3_4;37.8
2017;SE;F;ED5_8;41.9
2018;BE;M;ED0-2;27.6
2018;BE;M;ED3_4;40.2
2018;BE;M;ED5_8;32.3
2018;BE;F;ED0-2;25.1
2018;BE;F;ED3_4;35.2
2018;BE;F;ED5_8;39.7
2018;BG;M;ED0-2;22.2
2018;BG;M;ED3_4;58.3
2018;BG;M;ED5_8;19.5
2018;BG;F;ED0-2;20.9
2018;BG;F;ED3_4;48.9
2018;BG;F;ED5_8;30.3
2018;CZ;M;ED0-2;11.2
2018;CZ;M;ED3_4;68.9
2018;CZ;M;ED5_8;19.9
2018;CZ;F;ED0-2;13
2018;CZ;F;ED3_4;63.4
2018;CZ;F;ED5_8;23.6
2018;DK;M;ED0-2;29.2
2018;DK;M;ED3_4;43.2
2018;DK;M;ED5_8;27.6
2018;DK;F;ED0-2;24
2018;DK;F;ED3_4;38.7
2018;DK;F;ED5_8;37.2
2018;DE;M;ED0-2;19.3
2018;DE;M;ED3_4;53.6
2018;DE;M;ED5_8;27.1
2018;DE;F;ED0-2;20
2018;DE;F;ED3_4;56.8
2018;DE;F;ED5_8;23.2
2018;EE;M;ED0-2;20.3
2018;EE;M;ED3_4;52.9
2018;EE;M;ED5_8;26.8
2018;EE;F;ED0-2;13.3
2018;EE;F;ED3_4;41.8
2018;EE;F;ED5_8;44.9
2018;IE;M;ED0-2;24
2018;IE;M;ED3_4;39.3
2018;IE;M;ED5_8;36.7
2018;IE;F;ED0-2;19
2018;IE;F;ED3_4;36.8
2018;IE;F;ED5_8;44.2
2018;EL;M;ED0-2;29.5
2018;EL;M;ED3_4;44.3
2018;EL;M;ED5_8;26.1
2018;EL;F;ED0-2;27.9
2018;EL;F;ED3_4;43
2018;EL;F;ED5_8;29.2
2018;ES;M;ED0-2;44
2018;ES;M;ED3_4;24.6
2018;ES;M;ED5_8;31.4
2018;ES;F;ED0-2;37.7
2018;ES;F;ED3_4;25.7
2018;ES;F;ED5_8;36.6
2018;FR;M;ED0-2;24.6
2018;FR;M;ED3_4;45.3
2018;FR;M;ED5_8;30.1
2018;FR;F;ED0-2;24.3
2018;FR;F;ED3_4;40.4
2018;FR;F;ED5_8;35.3
2018;HR;M;ED0-2;17.2
2018;HR;M;ED3_4;63.8
2018;HR;M;ED5_8;19
2018;HR;F;ED0-2;20.2
2018;HR;F;ED3_4;54.8
2018;HR;F;ED5_8;25
2018;IT;M;ED0-2;42.4
2018;IT;M;ED3_4;43.1
2018;IT;M;ED5_8;14.5
