Year,Country,code,ISCED11,AVG
2011,Malta,MT,5-8,15,15
2011,Netherland,0-2,31,65
2011,Netherland,3-4,40,45
2011,Netherland,5-8,27,95
2011,Austria,AT,0-2,23,05
2011,Austria,AT,3-4,60,6
2011,Austria,AT,5-8,16,35
2011,Poland,PL,0-2,17,55
2011,Poland,PL,3-4,62,2
2011,Poland,PL,5-8,20,25
2011,Portugal,PT,0-2,64,25
2011,Portugal,PT,3-4,20,3
2011,Portugal,PT,5-8,15,5
2011,Romania,RO,0-2,29,95
2011,Romania,RO,3-4,57,2
2011,Romania,RO,5-8,12,9
2011,Slovenia,SI,0-2,19,75
2011,Slovenia,SI,3-4,58,55
2011,Slovenia,SI,5-8,21,7
2011,Slovakia,SK,0-2,15,65
2011,Slovakia,SK,3-4,67,95
2011,Slovakia,SK,5-8,16,4
2011,Finland,Fi,0-2,22,9
2011,Finland,Fi,3-4,44,55
2011,Finland,Fi,5-8,32,55
2011,Sweden,SE,0-2,24,4
2011,Sweden,SE,3-4,46,5
2011,Sweden,SE,5-8,29,15
2011,Switzerlan,0-2,21,4
2011,Switzerlan,3-4,49,75
2011,Switzerlan,5-8,28,9
2012,Belgium,BE,0-2,31,4
2012,Belgium,BE,3-4,37,35
2012,Belgium,BE,5-8,31,3
2012,Bulgaria,BG,0-2,22,95
2012,Bulgaria,BG,3-4,56,35
2012,Bulgaria,BG,5-8,20,65
2012,Czechia,CZ,0-2,13,45
2012,Czechia,CZ,3-4,69,55
2012,Czechia,CZ,5-8,17,0
2012,Denmark,DK,0-2,30,05
2012,Denmark,DK,3-4,41,4
2012,Denmark,DK,5-8,28,55
2012,Germany,DE,0-2,17,9
2012,Germany,DE,3-4,57,2
2012,Germany,DE,5-8,24,9
2012,Estonia,EE,0-2,16,85
2012,Estonia,EE,3-4,51,2
2012,Estonia,EE,5-8,31,95
2012,Ireland,IE,0-2,28,25
2012,Ireland,IE,3-4,36,1
2012,Ireland,IE,5-8,35,65
2012,Greece,EL,0-2,35,9
2012,Greece,EL,3-4,41,25
